run_name,tomo-reconstruction_method,ts-tilt_alignment_software,ts-tilt_series_path
jsa2010-01-01-1,Weighted back projection,RAPTOR,rawdata/10jan01a_B945a_001.mrc
jsa2010-01-01-2,Weighted back projection,RAPTOR,rawdata/10jan01a_B945a_002.mrc
jsa2010-01-01-3,Weighted back projection,RAPTOR,rawdata/10jan01a_B945a_003.mrc
jsa2010-01-01-4,Weighted back projection,RAPTOR,rawdata/10jan01a_B945a_004.mrc
jsa2010-01-01-5,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_001.mrc
jsa2010-01-01-6,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_002.mrc
jsa2010-01-01-7,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_005.mrc
jsa2010-01-01-8,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_006.mrc
jsa2010-01-01-9,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_007.mrc
jsa2010-01-01-10,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_008.mrc
jsa2010-01-01-11,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_013.mrc
jsa2010-01-01-12,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_014.mrc
jsa2010-01-01-13,SIRT,RAPTOR;RAPTOR;RAPTOR,rawdata/10jan01b_B945b_015.mrc
jsa2010-01-01-14,Weighted back projection,RAPTOR;RAPTOR;RAPTOR,rawdata/10jan01b_B945b_017.mrc
jsa2010-01-01-15,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_020.mrc
jsa2010-01-01-16,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_021.mrc
jsa2010-01-01-17,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_022.mrc
jsa2010-01-01-18,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_023.mrc
jsa2010-01-01-19,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_027.mrc
jsa2010-01-01-20,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_028.mrc
jsa2010-01-01-21,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_029.mrc
jsa2010-01-01-22,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_030.mrc
jsa2010-01-01-23,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_031.mrc
jsa2010-01-01-24,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_032.mrc
jsa2010-01-01-25,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_033.mrc
jsa2010-01-01-26,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_036.mrc
jsa2010-01-01-27,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_038.mrc
jsa2010-01-01-28,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_039.mrc
jsa2010-01-01-29,Weighted back projection,RAPTOR;RAPTOR;RAPTOR,rawdata/10jan01b_B945b_040.mrc
jsa2010-01-01-30,Weighted back projection,RAPTOR;RAPTOR;RAPTOR,rawdata/10jan01b_B945b_041.mrc
jsa2010-01-01-31,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_042.mrc
jsa2010-01-01-32,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_043.mrc
jsa2010-01-01-33,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_045.mrc
jsa2010-01-01-34,Weighted back projection,RAPTOR,rawdata/10jan01b_B945b_046.mrc
