run_name,frame_dose_rate,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_step,ts-total_flux
ycw2014-04-01-2,1.4942528735632183,64.5,-64.5,1.5,130.0
ycw2014-04-01-5,1.6049382716049383,60.0,-60.0,1.5,130.0
ycw2014-04-01-6,1.6049382716049383,60.0,-60.0,1.5,130.0
ycw2014-04-01-7,1.6049382716049383,60.0,-60.0,1.5,130.0
ycw2014-04-01-8,1.1570247933884297,60.0,-60.0,1.0,140.0
ycw2014-04-01-9,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-10,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-11,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-12,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-13,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-14,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-15,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-16,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-17,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-18,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-19,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-20,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-21,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-22,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-23,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-24,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-25,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-26,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-27,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-28,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-29,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-30,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-31,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-32,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-33,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-34,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-35,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-36,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-37,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-38,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-39,0.8641975308641975,60.0,-60.0,1.5,70.0
ycw2014-04-01-40,0.8641975308641975,60.0,-60.0,1.5,70.0
