run_name,tomo-align_softwares,tomo-fiducial_alignment_status,ts-tilt_alignment_software
scd2016-03-02-1,['autoPatch'],NON_FIDUCIAL,autoPatch
scd2016-03-02-2,['autoPatch'],NON_FIDUCIAL,autoPatch
scd2016-03-02-5,['autoPatch'],NON_FIDUCIAL,autoPatch
scd2016-03-02-7,['autoPatch'],NON_FIDUCIAL,autoPatch
scd2016-03-02-8,['autoPatch'],NON_FIDUCIAL,autoPatch
scd2016-03-02-3,['Batchruntomo'],FIDUCIAL,Batchruntomo
scd2016-03-02-4,['Batchruntomo'],FIDUCIAL,Batchruntomo
scd2016-03-02-6,['Batchruntomo'],FIDUCIAL,Batchruntomo
