run_name,tomo-align_softwares,tomo-fiducial_alignment_status,ts-tilt_alignment_software,ts-tilt_series_path
aba2014-03-04-1,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0001.mrc
aba2014-03-04-2,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0002.mrc
aba2014-03-04-3,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0003.mrc
aba2014-03-04-4,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0004.mrc
aba2014-03-04-5,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0005.mrc
aba2014-03-04-6,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0006.mrc
aba2014-03-04-7,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0007.mrc
aba2014-03-04-8,['autoPatch'],NON_FIDUCIAL,autoPatch,rawdata/deltaA1VibrioC0008.mrc
aba2014-03-04-9,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0009.mrc
aba2014-03-04-10,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0010.mrc
aba2014-03-04-11,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0011.mrc
aba2014-03-04-12,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0012.mrc
aba2014-03-04-13,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0013.mrc
aba2014-03-04-14,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0014.mrc
aba2014-03-04-15,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0015.mrc
aba2014-03-04-16,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0016.mrc
aba2014-03-04-17,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0017.mrc
aba2014-03-04-18,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0018.mrc
aba2014-03-04-19,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0019.mrc
aba2014-03-04-20,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0020.mrc
aba2014-03-04-21,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0021.mrc
aba2014-03-04-22,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0022.mrc
aba2014-03-04-23,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0023.mrc
aba2014-03-04-24,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0024.mrc
aba2014-03-04-25,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0025.mrc
aba2014-03-04-27,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0027.mrc
aba2014-03-04-29,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0029.mrc
aba2014-03-04-30,['RAPTOR'],FIDUCIAL,RAPTOR,rawdata/deltaA1VibrioC0030.mrc
