run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-min,ts-tilt_series_quality
jsa2010-01-04-1,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-3,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-4,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-5,RAPTOR,FIDUCIAL,WBP,IMOD,15.48,RAPTOR,-60.0,4
jsa2010-01-04-7,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-8,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-9,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-10,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-11,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-12,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-13,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-14,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-15,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-16,RAPTOR,FIDUCIAL,WBP,IMOD,15.48,RAPTOR,-60.0,4
jsa2010-01-04-17,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-18,RAPTOR,FIDUCIAL,WBP,IMOD,15.48,RAPTOR,-60.0,4
jsa2010-01-04-19,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-20,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-60.0,4
jsa2010-01-04-2,,NON_FIDUCIAL,,,,,-60.0,1
jsa2010-01-04-6,,NON_FIDUCIAL,,,,,-60.0,1
jsa2010-01-04-21,RAPTOR,FIDUCIAL,WBP,IMOD,15.64,RAPTOR,-59.0,3
