run_name,frame_dose_rate,tilt_series_max_angle,tilt_series_min_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality
dga2015-10-29-1,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-2,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-3,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-4,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-5,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-6,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-7,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-8,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-9,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-10,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-11,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
dga2015-10-29-12,0.8264462809917356,60.0,-60.0,4.0,RAPTOR,FIDUCIAL,IMOD,SIRT,IMOD,16.8,RAPTOR,60.0,-60.0,4
