run_name,ts-tilt_range-max,ts-tilt_series_quality
dga2017-07-17-1,60.0,4
dga2017-07-17-2,60.0,4
dga2017-07-17-3,60.0,4
dga2017-07-17-4,60.0,4
dga2017-07-17-5,60.0,4
dga2017-07-17-6,60.0,4
dga2017-07-17-7,60.0,4
dga2017-07-17-8,60.0,4
dga2017-07-17-9,60.0,4
dga2017-07-17-10,60.0,4
dga2017-07-17-11,60.0,4
dga2017-07-17-12,60.0,4
dga2017-07-17-14,60.0,4
dga2017-07-17-15,60.0,4
dga2017-07-17-16,60.0,4
dga2017-07-17-17,60.0,4
dga2017-07-17-18,60.0,4
dga2017-07-17-19,60.0,4
dga2017-07-17-20,60.0,4
dga2017-07-17-21,60.0,4
dga2017-07-17-22,60.0,4
dga2017-07-17-23,60.0,4
dga2017-07-17-24,60.0,4
dga2017-07-17-25,60.0,4
dga2017-07-17-26,60.0,4
dga2017-07-17-27,60.0,4
dga2017-07-17-28,60.0,4
dga2017-07-17-29,60.0,4
dga2017-07-17-30,60.0,4
dga2017-07-17-31,60.0,4
dga2017-07-17-32,60.0,4
dga2017-07-17-33,60.0,4
dga2017-07-17-34,60.0,4
dga2017-07-17-35,60.0,4
dga2017-07-17-36,60.0,4
dga2017-07-17-37,60.0,4
dga2017-07-17-39,60.0,4
dga2017-07-17-40,60.0,4
dga2017-07-17-41,60.0,4
dga2017-07-17-42,60.0,4
dga2017-07-17-43,60.0,4
dga2017-07-17-44,60.0,4
dga2017-07-17-45,60.0,4
dga2017-07-17-46,60.0,4
dga2017-07-17-47,60.0,4
dga2017-07-17-48,60.0,4
dga2017-07-17-49,60.0,4
dga2017-07-17-50,60.0,4
dga2017-07-17-51,60.0,4
dga2017-07-17-52,60.0,4
dga2017-07-17-53,60.0,4
dga2017-07-17-55,60.0,4
dga2017-07-17-56,60.0,4
dga2017-07-17-57,60.0,4
dga2017-07-17-58,60.0,4
dga2017-07-17-59,60.0,4
dga2017-07-17-60,60.0,4
dga2017-07-17-61,60.0,4
dga2017-07-17-62,60.0,4
dga2017-07-17-63,60.0,4
dga2017-07-17-64,60.0,4
dga2017-07-17-65,60.0,4
dga2017-07-17-66,60.0,4
dga2017-07-17-67,60.0,4
dga2017-07-17-69,60.0,4
dga2017-07-17-74,60.0,4
dga2017-07-17-75,60.0,4
dga2017-07-17-76,60.0,4
dga2017-07-17-81,60.0,4
dga2017-07-17-82,60.0,4
dga2017-07-17-84,60.0,4
dga2017-07-17-85,60.0,4
dga2017-07-17-86,60.0,4
dga2017-07-17-87,60.0,4
dga2017-07-17-88,60.0,4
dga2017-07-17-89,60.0,4
dga2017-07-17-90,60.0,4
dga2017-07-17-91,60.0,4
dga2017-07-17-92,60.0,4
dga2017-07-17-93,60.0,4
dga2017-07-17-96,60.0,4
dga2017-07-17-98,60.0,4
dga2017-07-17-99,60.0,4
dga2017-07-17-100,60.0,4
dga2017-07-17-102,60.0,4
dga2017-07-17-103,60.0,4
dga2017-07-17-104,60.0,4
dga2017-07-17-105,60.0,4
dga2017-07-17-106,60.0,4
dga2017-07-17-107,60.0,4
dga2017-07-17-108,60.0,4
dga2017-07-18-3,30.0,3
dga2017-07-18-4,42.0,3
dga2017-07-17-77,10.0,2
dga2017-07-17-78,12.0,2
dga2017-07-17-79,32.0,3
dga2017-07-17-80,16.0,2
dga2017-07-17-95,6.0,2
