run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
cwl2013-12-02-2,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-3,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-4,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-6,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-7,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-8,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-9,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-10,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-11,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-13,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-14,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-15,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-16,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-17,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-18,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-19,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-20,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,RAPTOR,4
cwl2013-12-02-12,,NON_FIDUCIAL,,,,,1
