run_name,tomo-align_software,ts-tilt_alignment_software
aba2015-05-28-1,Batchruntomo,Batchruntomo
aba2015-05-28-3,Batchruntomo,Batchruntomo
aba2015-05-29-7,Batchruntomo,Batchruntomo
aba2015-05-29-8,Batchruntomo,Batchruntomo
aba2015-05-29-12,Batchruntomo,Batchruntomo
aba2015-05-29-16,Batchruntomo,Batchruntomo
aba2015-05-29-18,Batchruntomo,Batchruntomo
aba2015-05-29-22,Batchruntomo,Batchruntomo
aba2015-05-29-23,Batchruntomo,Batchruntomo
aba2015-05-29-27,Batchruntomo,Batchruntomo
aba2015-05-28-2,RAPTOR,RAPTOR
aba2015-05-28-4,RAPTOR,RAPTOR
aba2015-05-28-5,RAPTOR,RAPTOR
aba2015-05-29-1,RAPTOR,RAPTOR
aba2015-05-29-2,RAPTOR,RAPTOR
aba2015-05-29-3,RAPTOR,RAPTOR
aba2015-05-29-4,RAPTOR,RAPTOR
aba2015-05-29-5,RAPTOR,RAPTOR
aba2015-05-29-6,RAPTOR,RAPTOR
aba2015-05-29-9,RAPTOR,RAPTOR
aba2015-05-29-10,RAPTOR,RAPTOR
aba2015-05-29-11,RAPTOR,RAPTOR
aba2015-05-29-13,RAPTOR,RAPTOR
aba2015-05-29-14,RAPTOR,RAPTOR
aba2015-05-29-15,RAPTOR,RAPTOR
aba2015-05-29-19,RAPTOR,RAPTOR
aba2015-05-29-20,RAPTOR,RAPTOR
aba2015-05-29-21,RAPTOR,RAPTOR
aba2015-05-29-24,RAPTOR,RAPTOR
aba2015-05-29-25,RAPTOR,RAPTOR
aba2015-05-29-26,RAPTOR,RAPTOR
aba2015-05-29-28,RAPTOR,RAPTOR
aba2015-05-29-29,RAPTOR,RAPTOR
