run_name,tilt_series_min_angle,tilt_series_quality_score,ts-tilt_range-min
jsa2009-08-07-1,-60.0,4.0,-60.0
jsa2009-08-07-2,-60.0,4.0,-60.0
jsa2009-08-07-3,-60.0,4.0,-60.0
jsa2009-08-07-4,-60.0,4.0,-60.0
jsa2009-08-07-5,-60.0,4.0,-60.0
jsa2009-08-07-6,-60.0,4.0,-60.0
jsa2009-08-07-7,-60.0,4.0,-60.0
jsa2009-08-07-8,-60.0,4.0,-60.0
jsa2009-08-07-9,-60.0,4.0,-60.0
jsa2009-08-07-10,-60.0,4.0,-60.0
jsa2009-08-07-11,-60.0,4.0,-60.0
jsa2009-08-07-12,-60.0,4.0,-60.0
jsa2009-08-07-13,-60.0,4.0,-60.0
jsa2009-08-07-14,-60.0,4.0,-60.0
jsa2009-08-07-15,-60.0,4.0,-60.0
jsa2009-08-07-16,-60.0,4.0,-60.0
jsa2009-08-07-17,-60.0,4.0,-60.0
jsa2009-08-07-24,-60.0,4.0,-60.0
jsa2009-08-07-25,-60.0,4.0,-60.0
jsa2009-08-07-26,-60.0,4.0,-60.0
jsa2009-08-07-27,-60.0,4.0,-60.0
jsa2009-08-07-28,-60.0,4.0,-60.0
jsa2009-08-07-29,-60.0,4.0,-60.0
jsa2009-08-07-30,-60.0,4.0,-60.0
jsa2009-08-07-31,-60.0,4.0,-60.0
jsa2009-08-07-32,-60.0,4.0,-60.0
jsa2009-08-07-33,-60.0,4.0,-60.0
jsa2009-08-07-34,-60.0,4.0,-60.0
jsa2009-08-07-35,-60.0,4.0,-60.0
jsa2009-08-07-36,-60.0,4.0,-60.0
jsa2009-08-07-37,-60.0,4.0,-60.0
jsa2009-08-07-38,-60.0,4.0,-60.0
jsa2009-08-07-39,-60.0,4.0,-60.0
jsa2009-08-07-40,-60.0,4.0,-60.0
jsa2009-08-07-41,-60.0,4.0,-60.0
jsa2009-08-07-42,-60.0,4.0,-60.0
jsa2009-08-07-43,-60.0,4.0,-60.0
jsa2009-08-07-18,-55.0,3.0,-55.0
jsa2009-08-07-19,-53.0,3.0,-53.0
jsa2009-08-07-20,-49.0,3.0,-49.0
jsa2009-08-07-21,-56.0,3.0,-56.0
jsa2009-08-07-22,-58.0,3.0,-58.0
jsa2009-08-07-23,-57.0,3.0,-57.0
