run_name,frame_dose_rate,tilt_series_max_angle,tilt_series_quality_score,tilt_series_tilt_step,ts-tilt_range-max,ts-tilt_series_quality,ts-tilt_step
ycw2014-07-18-5,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-7,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-10,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-12,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-13,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-14,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-15,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-17,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-18,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-20,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-22,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-24,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-25,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-27,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-29,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-30,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-31,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-32,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-33,1.639344262295082,60.0,4.0,2.0,60.0,4,2.0
ycw2014-07-18-6,0.8264462809917356,60.0,4.0,1.0,60.0,4,1.0
ycw2014-07-18-8,0.8264462809917356,3.0,2.0,1.0,3.0,2,1.0
ycw2014-07-18-9,1.2345679012345678,60.0,4.0,1.5,60.0,4,1.5
ycw2014-07-18-11,1.2345679012345678,60.0,4.0,1.5,60.0,4,1.5
ycw2014-07-18-16,1.2345679012345678,60.0,4.0,1.5,60.0,4,1.5
ycw2014-07-18-19,1.2345679012345678,60.0,4.0,1.5,60.0,4,1.5
ycw2014-07-18-21,1.2345679012345678,60.0,4.0,1.5,60.0,4,1.5
ycw2014-07-18-23,1.2345679012345678,60.0,4.0,1.5,60.0,4,1.5
ycw2014-07-18-26,1.2345679012345678,60.0,4.0,1.5,60.0,4,1.5
ycw2014-07-18-28,1.2345679012345678,60.0,4.0,1.5,60.0,4,1.5
