run_name,frame_dose_rate,tilt_series_max_angle,tilt_series_min_angle,tilt_series_tilt_step,tomo-align_software,tomo-fiducial_alignment_status,tomo-voxel_spacing,ts-camera-model,ts-data_acquisition_software,ts-microscope-manufacturer,ts-microscope-model,ts-pixel_spacing,ts-spherical_aberration_constant,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_step,ts-tilting_scheme,ts-total_flux
ycw2012-11-14-58,110.0,60.0,-60.0,1.5,RAPTOR,FIDUCIAL,13.059,K2,UCSFTomo,FEI,Polara,3.265,2.0,RAPTOR,60.0,-60.0,1.5,starting tilt to max then min,110.0
ycw2012-11-14-59,110.0,60.0,-60.0,1.5,RAPTOR,FIDUCIAL,13.059,K2,UCSFTomo,FEI,Polara,3.265,2.0,RAPTOR,60.0,-60.0,1.5,starting tilt to max then min,110.0
ycw2012-11-14-60,110.0,60.0,-60.0,1.5,RAPTOR,FIDUCIAL,13.059,K2,UCSFTomo,FEI,Polara,3.265,2.0,RAPTOR,60.0,-60.0,1.5,starting tilt to max then min,110.0
ycw2012-11-14-62,110.0,60.0,-60.0,1.5,RAPTOR,FIDUCIAL,13.059,K2,UCSFTomo,FEI,Polara,3.265,2.0,RAPTOR,60.0,-60.0,1.5,starting tilt to max then min,110.0
ycw2012-11-14-63,110.0,60.0,-60.0,1.5,RAPTOR,FIDUCIAL,13.059,K2,UCSFTomo,FEI,Polara,3.265,2.0,RAPTOR,60.0,-60.0,1.5,starting tilt to max then min,110.0
ycw2012-11-14-64,110.0,60.0,-60.0,1.5,RAPTOR,FIDUCIAL,13.059,K2,UCSFTomo,FEI,Polara,3.265,2.0,RAPTOR,60.0,-60.0,1.5,starting tilt to max then min,110.0
ycw2012-11-14-65,110.0,60.0,-60.0,1.5,RAPTOR,FIDUCIAL,13.059,K2,UCSFTomo,FEI,Polara,3.265,2.0,RAPTOR,60.0,-60.0,1.5,starting tilt to max then min,110.0
ycw2012-11-14-66,110.0,60.0,-60.0,1.5,RAPTOR,FIDUCIAL,13.059,K2,UCSFTomo,FEI,Polara,3.265,2.0,RAPTOR,60.0,-60.0,1.5,starting tilt to max then min,110.0
ycw2012-12-05-28,114.0,60.0,-60.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSF Tomo,FEI,Polara,4.036,2.0,RAPTOR,60.0,-60.0,1.0,starting tilt to max then min,114.0
ycw2013-05-01-10,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,19.315,K2,UCSF Tomo,TFS,Krios,4.829,2.7,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-05-01-11,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,19.315,K2,UCSF Tomo,TFS,Krios,4.829,2.7,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-05-01-15,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,19.315,K2,UCSF Tomo,TFS,Krios,4.829,2.7,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-05-01-25,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,19.315,K2,UCSF Tomo,TFS,Krios,4.829,2.7,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-05-01-27,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,19.315,K2,UCSF Tomo,TFS,Krios,4.829,2.7,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-05-01-34,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,19.315,K2,UCSF Tomo,TFS,Krios,4.829,2.7,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-05-01-40,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,19.315,K2,UCSF Tomo,TFS,Krios,4.829,2.7,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-05-01-51,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,19.315,K2,UCSF Tomo,TFS,Krios,4.829,2.7,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-05-01-53,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,19.315,K2,UCSF Tomo,TFS,Krios,4.829,2.7,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-11,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-12,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-13,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-14,100.0,65.0,-65.0,1.0,autoPatch,NON_FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,autoPatch,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-15,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-16,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-17,100.0,65.0,-65.0,1.0,autoPatch,NON_FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,autoPatch,65.0,-65.0,1.0,starting tilt to max then min,100.0
ycw2013-08-20-18,100.0,65.0,-65.0,1.0,RAPTOR,FIDUCIAL,16.145,K2,UCSFTomo,FEI,Polara,4.036,2.0,RAPTOR,65.0,-65.0,1.0,starting tilt to max then min,100.0
