run_name,frame_dose_rate,tilt_series_tilt_step,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_step,ts-total_flux
lmm2013-11-19-5,150.0,1.5,19.733,4.933,1.5,150.0
lmm2013-11-19-7,150.0,1.5,19.733,4.933,1.5,150.0
lmm2013-11-19-8,150.0,1.5,19.733,4.933,1.5,150.0
lmm2013-11-19-9,150.0,1.5,19.733,4.933,1.5,150.0
lmm2013-11-19-10,150.0,1.5,19.733,4.933,1.5,150.0
lmm2013-11-19-11,150.0,1.5,19.733,4.933,1.5,150.0
lmm2013-11-19-12,150.0,1.5,19.733,4.933,1.5,150.0
lmm2013-11-19-13,150.0,1.5,19.733,4.933,1.5,150.0
lmm2013-11-19-14,150.0,1.5,19.733,4.933,1.5,150.0
lmm2013-11-19-15,150.0,1.5,19.733,4.933,1.5,150.0
lmm2013-11-19-16,150.0,1.5,19.733,4.933,1.5,150.0
lmm2013-11-19-17,150.0,1.5,19.733,4.933,1.5,150.0
lmm2013-11-19-18,150.0,1.5,19.733,4.933,1.5,150.0
lmm2014-01-16-26,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-27,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-28,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-29,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-30,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-31,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-32,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-33,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-34,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-35,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-36,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-37,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-38,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-39,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-40,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-41,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-46,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-47,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-48,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-01-16-49,106.0,1.0,19.733,4.933,1.0,106.0
lmm2014-04-08-1,120.0,1.0,24.667,6.167,1.0,120.0
lmm2014-04-08-22,60.0,1.5,24.667,6.167,1.5,60.0
lmm2014-04-08-23,60.0,1.5,24.667,6.167,1.5,60.0
lmm2014-04-08-25,60.0,1.5,24.667,6.167,1.5,60.0
lmm2014-04-08-27,60.0,1.5,24.667,6.167,1.5,60.0
lmm2014-04-08-29,60.0,1.5,24.667,6.167,1.5,60.0
lmm2014-04-09-2,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-3,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-4,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-5,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-6,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-7,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-8,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-9,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-10,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-11,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-12,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-13,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-14,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-15,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-16,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-17,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-18,80.0,1.0,24.667,6.167,1.0,80.0
lmm2014-04-09-19,80.0,1.0,24.667,6.167,1.0,80.0
