run_name,tilt_series_max_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_series_quality
mka2020-10-08-1,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-2,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-3,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-4,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-5,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-6,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-7,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-8,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-9,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-10,60.0,1.0,,NON_FIDUCIAL,,,,,,60.0,1
mka2020-10-08-11,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-12,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-13,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-14,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-15,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-16,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-17,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-18,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-19,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-20,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-21,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-22,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-23,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-24,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-25,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-26,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
mka2020-10-08-27,60.0,4.0,RAPTOR,FIDUCIAL,IMOD,WBP,IMOD,18.064,RAPTOR,60.0,4
