run_name,ts-tilt_range-max,ts-tilt_series_quality
ycw2018-06-04-1,60.0,4
ycw2018-06-04-2,60.0,4
ycw2018-06-04-3,60.0,4
ycw2018-06-04-4,60.0,4
ycw2018-06-04-5,60.0,4
ycw2018-06-04-6,60.0,4
ycw2018-06-04-7,60.0,4
ycw2018-06-04-9,60.0,4
ycw2018-06-04-10,60.0,4
ycw2018-06-04-11,60.0,4
ycw2018-06-04-12,60.0,4
ycw2018-06-04-13,60.0,4
ycw2018-06-04-15,60.0,4
ycw2018-06-04-17,60.0,4
ycw2018-06-04-18,60.0,4
ycw2018-06-04-19,60.0,4
ycw2018-06-04-20,60.0,4
ycw2018-06-04-21,60.0,4
ycw2018-06-04-22,60.0,4
ycw2018-06-04-23,60.0,4
ycw2018-06-04-24,60.0,4
ycw2018-06-04-26,60.0,4
ycw2018-06-04-28,60.0,4
ycw2018-06-04-29,60.0,4
ycw2018-06-04-30,60.0,4
ycw2018-06-04-31,60.0,4
ycw2018-06-04-32,60.0,4
ycw2018-06-04-33,60.0,4
ycw2018-06-04-34,60.0,4
ycw2018-06-04-35,60.0,4
ycw2018-06-04-36,60.0,4
ycw2018-06-04-38,60.0,4
ycw2018-06-04-40,60.0,4
ycw2018-06-04-42,60.0,4
ycw2018-06-04-43,60.0,4
ycw2018-06-04-44,60.0,4
ycw2018-06-04-45,60.0,4
ycw2018-06-04-48,60.0,4
ycw2018-06-04-49,60.0,4
ycw2018-06-04-50,60.0,4
ycw2018-06-04-51,60.0,4
ycw2018-06-04-52,60.0,4
ycw2018-06-04-53,60.0,4
ycw2018-06-04-54,60.0,4
ycw2018-06-04-55,60.0,4
ycw2018-06-04-59,60.0,4
ycw2018-06-04-60,60.0,4
ycw2018-06-04-61,60.0,4
ycw2018-06-04-62,60.0,4
ycw2018-06-04-63,60.0,4
ycw2018-06-04-64,60.0,4
ycw2018-06-04-65,60.0,4
ycw2018-06-04-68,60.0,4
ycw2018-06-04-69,60.0,4
ycw2018-06-04-72,60.0,4
ycw2018-06-04-73,60.0,4
ycw2018-06-04-74,60.0,4
ycw2018-06-04-78,60.0,4
ycw2018-06-04-79,60.0,4
ycw2018-06-04-80,60.0,4
ycw2018-06-04-81,60.0,4
ycw2018-06-04-83,60.0,4
ycw2018-06-04-84,60.0,4
ycw2018-06-04-85,60.0,4
ycw2018-06-04-87,60.0,4
ycw2018-06-04-88,60.0,4
ycw2018-06-04-91,60.0,4
ycw2018-06-04-92,60.0,4
ycw2018-06-04-93,60.0,4
ycw2018-06-04-25,52.0,3
ycw2018-06-04-39,59.0,3
ycw2018-06-04-56,0.0,2
ycw2018-06-04-57,-12.0,2
ycw2018-06-04-66,-1.0,2
ycw2018-06-04-70,47.0,3
ycw2018-06-04-71,54.0,3
ycw2018-06-04-75,54.0,3
ycw2018-06-04-86,-4.0,2
