run_name,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_path
mba2012-08-29-1,56.5,-56.5,rawdata/CJejuni_Tomo_1.st
mba2012-08-29-2,65.0,-65.0,rawdata/CJejuni_Tomo_10.st
mba2012-08-29-3,65.0,-65.0,rawdata/CJejuni_Tomo_11.st
mba2012-08-29-4,65.0,-65.0,rawdata/CJejuni_Tomo_13.st
mba2012-08-29-5,65.0,-65.0,rawdata/CJejuni_Tomo_14.st
mba2012-08-29-6,65.0,-65.0,rawdata/CJejuni_Tomo_15.st
mba2012-08-29-7,65.0,-65.0,rawdata/CJejuni_Tomo_16.st
mba2012-08-29-8,65.0,-65.0,rawdata/CJejuni_Tomo_20.st
mba2012-08-29-9,65.0,-65.0,rawdata/CJejuni_Tomo_21.st
mba2012-08-29-10,65.0,-65.0,rawdata/CJejuni_Tomo_22.st
mba2012-08-29-11,65.0,-65.0,rawdata/CJejuni_Tomo_25.st
mba2012-08-29-12,65.0,-65.0,rawdata/CJejuni_Tomo_27.st
mba2012-08-29-13,65.0,-65.0,rawdata/CJejuni_Tomo_28.st
mba2012-08-29-14,65.0,-65.0,rawdata/CJejuni_Tomo_29.st
mba2012-08-29-15,65.0,-65.0,rawdata/CJejuni_Tomo_3.st
mba2012-08-29-16,65.0,-65.0,rawdata/CJejuni_Tomo_30.st
mba2012-08-29-17,65.0,-65.0,rawdata/CJejuni_Tomo_31.st
mba2012-08-29-18,65.0,-65.0,rawdata/CJejuni_Tomo_32.st
mba2012-08-29-19,65.0,-65.0,rawdata/CJejuni_Tomo_33.st
mba2012-08-29-20,65.0,-65.0,rawdata/CJejuni_Tomo_36.st
mba2012-08-29-21,65.0,-65.0,rawdata/CJejuni_Tomo_5.st
mba2012-08-29-22,65.0,-65.0,rawdata/CJejuni_Tomo_6.st
mba2012-08-29-23,65.0,-65.0,rawdata/CJejuni_Tomo_8.st
