run_name,tomo-voxel_spacing,ts-tilt_series_path
mba2011-07-15-1,10.24,rawdata/11jul15a_flgQ_0001.st
mba2011-07-15-2,10.24,rawdata/11jul15a_flgQ_0002.st
mba2011-07-15-3,10.24,rawdata/11jul15a_flgQ_0005.st
mba2011-07-15-4,10.24,rawdata/11jul15a_flgQ_0006.st
mba2011-07-15-5,10.24,rawdata/11jul15a_flgQ_0009.st
mba2011-07-15-6,10.24,rawdata/11jul15a_flgQ_0012.st
mba2011-07-15-7,10.24,rawdata/11jul15a_flgQ_0013.st
mba2011-07-15-8,10.24,rawdata/11jul15a_flgQ_0015.st
mba2011-07-15-9,10.24,rawdata/11jul15a_flgQ_0016.st
mba2011-07-15-10,10.24,rawdata/11jul15a_flgQ_0017.st
mba2011-07-15-11,10.24,rawdata/11jul15a_flgQ_0018.st
mba2011-07-15-12,10.24,rawdata/11jul15a_flgQ_0019.st
mba2011-07-15-13,10.24,rawdata/11jul15a_flgQ_0021.st
mba2011-07-16-1,5.12,rawdata/11jul16a_flgQ_0003.st
mba2011-07-16-2,5.12,rawdata/11jul16a_flgQ_0004.st
mba2011-07-16-3,5.12,rawdata/11jul16a_flgQ_0005.st
