run_name,tilt_series_max_angle,tilt_series_min_angle,tilt_series_total_flux,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-microscope-manufacturer,ts-microscope-model,ts-pixel_spacing,ts-spherical_aberration_constant,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality,ts-total_flux
ycw2013-10-09-19,65.0,-65.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,200.0
ycw2013-10-09-20,65.0,-65.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,200.0
ycw2013-10-09-21,65.0,-65.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,200.0
ycw2013-10-09-22,65.0,-65.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,200.0
ycw2013-10-09-23,65.0,-65.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,200.0
ycw2013-10-09-24,65.0,-65.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,200.0
ycw2013-10-09-25,65.0,-65.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,200.0
ycw2013-10-09-26,65.0,-65.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,200.0
ycw2013-10-09-27,65.0,-65.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,200.0
ycw2013-10-25-43,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-44,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-45,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-46,50.0,-50.0,200.0,,NON_FIDUCIAL,,,,TFS,Krios,4.829,2.7,,50.0,-50.0,1,200.0
ycw2013-10-25-47,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-48,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-49,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-50,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-51,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-52,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-53,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-54,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-55,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-56,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-57,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-58,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-59,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-60,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-61,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-62,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-63,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-64,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-65,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-66,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-67,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-68,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-69,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-70,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-71,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-72,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-73,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-74,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-75,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-76,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-77,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-78,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-79,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-80,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-81,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-82,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-83,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-84,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-85,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-86,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-87,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-88,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-25-89,50.0,-50.0,200.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.315,TFS,Krios,4.829,2.7,RAPTOR,50.0,-50.0,4,200.0
ycw2013-10-10-1,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-2,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-3,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-4,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-5,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-6,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-7,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-8,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-9,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-10,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-11,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-12,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-13,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-14,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-15,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-16,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
ycw2013-10-10-17,65.0,-65.0,210.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.733,FEI,Polara,4.933,2.0,RAPTOR,65.0,-65.0,4,210.0
