run_name,frame_dose_rate,tomo-voxel_spacing,ts-data_acquisition_software,ts-microscope-manufacturer,ts-microscope-model,ts-pixel_spacing,ts-spherical_aberration_constant,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_step,ts-total_flux
ycw2013-09-28-57,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-58,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-59,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-60,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-61,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-62,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-63,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-64,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-65,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-66,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-67,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-68,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-69,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-70,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-71,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-72,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-73,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-74,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-75,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-76,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-77,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-78,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-79,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-80,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-81,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-82,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-83,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-84,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-85,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
ycw2013-09-28-86,0.7633587786259542,16.145,UCSFTomo,FEI,Polara,4.036,2.0,65.0,-65.0,1.0,100.0
