run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality
dga2019-05-16-62,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-63,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-64,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-65,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-66,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-67,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-68,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-69,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-70,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-71,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-72,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-73,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-74,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-75,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-76,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-77,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-78,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-79,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-80,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-81,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-82,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-83,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-84,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-85,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-86,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-87,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-88,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-89,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-90,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-92,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-93,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-94,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-95,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-96,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-97,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-98,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-99,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-100,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-101,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-102,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-103,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-104,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-105,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-106,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-107,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-108,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-109,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-110,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-111,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-112,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-113,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-114,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-115,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-116,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-117,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-118,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-119,RAPTOR,FIDUCIAL,Weighted back projection,IMOD,10.4,RAPTOR,4
dga2019-05-16-42,,NON_FIDUCIAL,None,None,,,1
