run_name,tomo-align_softwares,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_series_path,ts-tilt_series_quality,ts-tilt_step
dga2017-02-02-25,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0019.mrc,4,2.0
dga2017-02-02-26,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0020.mrc,4,2.0
dga2017-02-02-27,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0021.mrc,4,2.0
dga2017-02-02-28,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/JV1181_02022017a0022.mrc,4,2.0
dga2017-02-02-29,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0023.mrc,4,2.0
dga2017-02-02-30,,NON_FIDUCIAL,,None,None,,,rawdata/JV1181_02022017a0024.mrc,1,2.0
dga2017-02-02-31,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0025.mrc,4,2.0
dga2017-02-02-32,['TOMO3D'],FIDUCIAL,tomo3D,SIRT,TOMO3D,15.600000000000001,TOMO3D;RAPTOR,rawdata/JV1181_02022017a0026.mrc,4,2.0
dga2017-02-02-33,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR,rawdata/JV1181_02022017a0027.mrc,4,2.0
dga2017-02-02-34,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0028.mrc,4,2.0
dga2017-02-02-35,['RAPTOR'],FIDUCIAL,,Weighted back projection,IMOD,16.145,RAPTOR;TOMO3D,rawdata/JV1181_02022017a0029.mrc,4,2.0
