run_name,tomo-align_software,ts-tilt_alignment_software
psa2014-12-30-15,Batchruntomo,Batchruntomo
psa2014-12-30-19,Batchruntomo,Batchruntomo
psa2014-12-30-25,Batchruntomo,Batchruntomo
psa2014-12-30-33,Batchruntomo,Batchruntomo
psa2014-12-30-34,Batchruntomo,Batchruntomo
psa2014-12-30-16,RAPTOR,RAPTOR
psa2014-12-30-17,RAPTOR,RAPTOR
psa2014-12-30-18,RAPTOR,RAPTOR
psa2014-12-30-20,RAPTOR,RAPTOR
psa2014-12-30-21,RAPTOR,RAPTOR
psa2014-12-30-22,RAPTOR,RAPTOR
psa2014-12-30-23,RAPTOR,RAPTOR
psa2014-12-30-24,RAPTOR,RAPTOR
psa2014-12-30-26,RAPTOR,RAPTOR
psa2014-12-30-27,RAPTOR,RAPTOR
psa2014-12-30-28,RAPTOR,RAPTOR
psa2014-12-30-29,RAPTOR,RAPTOR
psa2014-12-30-30,RAPTOR,RAPTOR
psa2014-12-30-31,RAPTOR,RAPTOR
psa2014-12-30-32,RAPTOR,RAPTOR
