run_name,frame_dose_rate,tomo-align_software,tomo-fiducial_alignment_status,tomo-processing_software,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-data_acquisition_software,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality,ts-total_flux
dga2019-12-07-105,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-106,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-107,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-108,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-109,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-110,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-111,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,51.0,-54.0,3,130.0
dga2019-12-07-112,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-113,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-114,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-115,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,48.0,-54.0,3,130.0
dga2019-12-07-116,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-117,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-118,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-119,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-120,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-121,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-122,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-124,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-125,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,54.0,-54.0,4,130.0
dga2019-12-07-126,3.5135135135135136,RAPTOR,FIDUCIAL,,WBP,IMOD,14.12,SerialEM,3.53,RAPTOR,48.0,-54.0,3,130.0
