run_name,frame_dose_rate,tomo-voxel_spacing,ts-tilt_range-min,ts-tilt_series_quality,ts-tilt_step
cwl2010-10-05-1,1.2295081967213115,25.16,-60.0,4,1.0
cwl2010-10-05-2,1.2295081967213115,25.16,-60.0,4,1.0
cwl2010-10-05-3,1.2295081967213115,25.16,-60.0,4,1.0
cwl2010-10-05-4,1.2295081967213115,25.16,-60.0,4,1.0
cwl2010-10-05-5,1.2295081967213115,25.16,-60.0,4,1.0
cwl2010-10-05-6,1.2295081967213115,25.16,-60.0,4,1.0
cwl2010-10-05-7,1.2295081967213115,25.16,-60.0,4,1.0
cwl2010-10-05-8,1.2295081967213115,25.16,-60.0,4,1.0
cwl2010-10-05-9,1.2295081967213115,50.32,-60.0,4,1.0
cwl2010-09-24-1,0.9259259259259259,25.16,-53.25,3,0.75
