run_name,ts-tilt_range-min,ts-tilt_series_quality
mba2012-04-21-1,-64.5,3
mba2012-04-21-3,-64.5,3
mba2012-04-21-4,-64.5,3
mba2012-04-20-11,-64.5,3
mba2012-04-21-2,-61.5,3
mba2012-04-23-1,-66.0,4
mba2012-04-23-2,-66.0,4
mba2012-04-23-3,-66.0,4
mba2012-04-23-4,-66.0,4
mba2012-04-23-5,-66.0,4
mba2012-04-23-6,-66.0,4
mba2012-04-23-7,-66.0,4
mba2012-04-23-8,-66.0,4
mba2012-04-22-1,-66.0,4
mba2012-04-22-2,-66.0,4
mba2012-04-22-3,-66.0,4
mba2012-04-22-4,-66.0,4
mba2012-04-22-5,-66.0,4
mba2012-04-22-6,-66.0,4
mba2012-04-22-7,-66.0,4
mba2012-04-22-8,-66.0,4
mba2012-04-22-9,-66.0,4
mba2012-04-22-10,-66.0,4
mba2012-04-23-9,-66.0,4
mba2012-04-23-10,-66.0,4
mba2012-04-23-11,-66.0,4
mba2012-04-23-12,-66.0,4
mba2012-04-23-13,-66.0,4
mba2012-04-23-14,-66.0,4
mba2012-04-23-15,-66.0,4
mba2012-04-23-16,-66.0,4
mba2012-04-24-1,-66.0,4
mba2012-04-24-2,-66.0,4
mba2012-04-24-3,-66.0,4
mba2012-04-24-4,-66.0,4
mba2012-04-24-5,-66.0,4
mba2012-04-24-6,-66.0,4
mba2012-04-24-7,-66.0,4
mba2012-04-24-8,-66.0,4
mba2012-04-24-9,-66.0,4
mba2012-04-24-10,-66.0,4
mba2012-04-24-11,-66.0,4
mba2012-04-24-12,-66.0,4
mba2012-04-24-13,-66.0,4
mba2012-04-24-14,-66.0,4
mba2012-04-24-15,-66.0,4
mba2012-04-24-16,-66.0,4
mba2012-04-24-17,-66.0,4
mba2012-04-24-18,-66.0,4
mba2012-04-24-19,-66.0,4
mba2012-04-24-20,-66.0,4
mba2012-04-24-21,-66.0,4
mba2012-04-24-22,-66.0,4
mba2012-04-20-10,-66.0,4
