run_name,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_series_quality,ts-tilt_step,ts-total_flux
zyh2009-06-13-14,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-15,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-16,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-17,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-18,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-21,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-22,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-23,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-24,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-25,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-26,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-28,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-29,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-30,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-31,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-32,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-33,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-34,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
zyh2009-06-13-35,RAPTOR,FIDUCIAL,WBP,IMOD,10.4,10.4,RAPTOR,4,2.098360655737705,130.0
