run_name,frame_dose_rate,ts-tilt_range-max,ts-tilt_range-min
ycw2014-01-21-1,1.450381679389313,65.0,-65.0
ycw2014-01-21-2,1.450381679389313,65.0,-65.0
ycw2014-01-21-3,1.450381679389313,65.0,-65.0
ycw2014-01-21-4,1.5702479338842976,60.0,-60.0
ycw2014-01-21-5,1.5702479338842976,60.0,-60.0
ycw2014-01-21-6,1.5702479338842976,60.0,-60.0
ycw2014-01-21-7,1.5702479338842976,60.0,-60.0
ycw2014-01-21-8,1.5702479338842976,60.0,-60.0
ycw2014-01-21-9,1.5702479338842976,60.0,-60.0
ycw2014-01-21-10,1.5702479338842976,60.0,-60.0
ycw2014-01-21-11,1.5702479338842976,60.0,-60.0
ycw2014-01-21-12,1.5702479338842976,60.0,-60.0
ycw2014-01-21-13,1.5702479338842976,60.0,-60.0
ycw2014-01-21-14,1.5702479338842976,60.0,-60.0
ycw2014-01-21-15,1.5702479338842976,60.0,-60.0
ycw2014-01-21-16,1.5702479338842976,60.0,-60.0
ycw2014-01-21-17,1.5702479338842976,60.0,-60.0
ycw2014-01-21-18,1.5702479338842976,60.0,-60.0
ycw2014-01-21-19,1.5702479338842976,60.0,-60.0
ycw2014-01-21-20,1.5702479338842976,60.0,-60.0
ycw2014-01-21-21,1.5702479338842976,60.0,-60.0
ycw2014-01-21-22,1.5702479338842976,60.0,-60.0
ycw2014-01-21-23,1.5702479338842976,60.0,-60.0
ycw2014-01-21-24,1.5702479338842976,60.0,-60.0
ycw2014-01-21-25,1.5702479338842976,60.0,-60.0
ycw2014-01-21-26,1.5702479338842976,60.0,-60.0
ycw2014-01-21-27,1.5702479338842976,60.0,-60.0
ycw2014-01-21-28,1.5702479338842976,60.0,-60.0
ycw2014-01-21-29,1.5702479338842976,60.0,-60.0
ycw2014-01-21-30,1.5702479338842976,60.0,-60.0
ycw2014-01-21-31,1.5702479338842976,60.0,-60.0
ycw2014-01-21-32,1.5702479338842976,60.0,-60.0
ycw2014-01-21-33,1.5702479338842976,60.0,-60.0
ycw2014-01-21-34,1.5702479338842976,60.0,-60.0
ycw2014-01-21-35,1.5702479338842976,60.0,-60.0
ycw2014-01-21-36,1.5702479338842976,60.0,-60.0
ycw2014-01-21-37,1.5702479338842976,60.0,-60.0
ycw2014-01-21-38,1.5702479338842976,60.0,-60.0
ycw2014-01-21-39,1.5702479338842976,60.0,-60.0
ycw2014-01-21-40,1.5702479338842976,60.0,-60.0
ycw2014-01-21-41,1.5702479338842976,60.0,-60.0
ycw2014-01-21-42,1.5702479338842976,60.0,-60.0
ycw2014-01-21-43,1.5702479338842976,60.0,-60.0
ycw2014-01-21-44,1.5702479338842976,60.0,-60.0
ycw2014-01-21-45,1.5702479338842976,60.0,-60.0
ycw2014-01-21-46,1.5702479338842976,60.0,-60.0
ycw2014-01-21-47,1.5702479338842976,60.0,-60.0
