run_name,tilt_series_max_angle,tilt_series_quality_score,ts-tilt_range-max,ts-tilt_series_quality
mba2011-07-18-2,61.5,3.0,61.5,3
mba2011-07-18-3,61.5,3.0,61.5,3
mba2011-07-18-4,61.5,3.0,61.5,3
mba2011-07-18-5,61.5,3.0,61.5,3
mba2011-07-18-8,61.5,3.0,61.5,3
mba2011-07-18-10,60.0,3.0,60.0,3
mba2011-07-18-11,60.0,3.0,60.0,3
mba2011-07-18-13,60.0,3.0,60.0,3
mba2011-07-18-14,60.0,3.0,60.0,3
mba2011-07-18-21,60.0,3.0,60.0,3
mba2011-07-18-15,64.5,4.0,64.5,4
mba2011-07-18-18,64.5,4.0,64.5,4
mba2011-07-18-17,63.0,3.0,63.0,3
mba2011-07-18-19,63.0,3.0,63.0,3
mba2011-07-18-20,63.0,3.0,63.0,3
