run_name,tilt_series_max_angle,tilt_series_min_angle,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality
etl2012-04-26-17,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-04-26-19,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-04-26-20,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-04-26-21,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-04-26-22,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-04-26-23,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-04-26-24,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-04-26-25,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-04-26-26,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-04-26-27,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-04-26-28,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-04-26-29,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-04-26-30,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-05-14-1,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-05-14-2,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-05-14-3,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-05-14-4,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-05-14-6,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-05-14-7,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-05-14-8,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-05-14-9,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-05-14-10,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-05-14-11,50.0,-50.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,50.0,-50.0,4
etl2012-05-13-20,40.0,-40.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,40.0,-40.0,4
etl2012-05-13-21,40.0,-40.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,40.0,-40.0,4
etl2012-05-13-22,40.0,-40.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,40.0,-40.0,4
etl2012-05-13-23,40.0,-40.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,40.0,-40.0,4
etl2012-05-13-24,40.0,-40.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,40.0,-40.0,4
etl2012-05-13-25,40.0,-40.0,,NON_FIDUCIAL,,,,,40.0,-40.0,1
etl2012-05-13-26,40.0,-40.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,40.0,-40.0,4
etl2012-05-13-27,40.0,-40.0,RAPTOR,FIDUCIAL,WBP,IMOD,18.92,RAPTOR,40.0,-40.0,4
