run_name,frame_dose_rate,ts-tilt_range-max,ts-tilt_series_quality,ts-tilt_step
cwl2011-12-12-1,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-2,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-3,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-4,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-5,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-6,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-7,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-8,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-9,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-10,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-11,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-12,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-13,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-14,1.2295081967213115,34.0,3,1.0
cwl2011-12-12-15,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-16,1.2295081967213115,51.0,3,1.0
cwl2011-12-12-17,1.2295081967213115,46.0,3,1.0
cwl2011-12-12-18,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-19,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-20,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-21,1.2295081967213115,9.0,2,1.0
cwl2011-12-12-22,1.2295081967213115,42.0,3,1.0
cwl2011-12-12-23,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-24,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-25,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-26,1.2295081967213115,45.0,3,1.0
cwl2011-12-12-27,1.2295081967213115,47.0,3,1.0
cwl2011-12-12-28,1.2295081967213115,60.0,4,1.0
cwl2011-12-12-29,1.2295081967213115,60.0,4,1.0
cwl2011-12-15-1,1.2295081967213115,52.0,3,1.0
cwl2011-12-15-2,1.2295081967213115,56.0,3,1.0
cwl2011-12-15-3,1.2295081967213115,54.0,3,1.0
cwl2011-12-15-4,1.2295081967213115,49.0,3,1.0
cwl2011-12-25-10,1.2295081967213115,60.0,4,1.0
cwl2011-12-25-11,2.4193548387096775,60.0,4,2.0
cwl2011-12-25-12,2.4193548387096775,48.0,3,2.0
