run_name,tilt_series_max_angle,tilt_series_min_angle,ts-tilt_range-max,ts-tilt_range-min
etl2012-09-02-21,61.5,-61.5,61.5,-61.5
etl2012-09-02-22,61.5,-61.5,61.5,-61.5
etl2012-09-02-23,61.5,-61.5,61.5,-61.5
etl2012-09-02-24,61.5,-61.5,61.5,-61.5
etl2012-09-02-25,61.5,-61.5,61.5,-61.5
etl2012-09-02-29,61.5,-61.5,61.5,-61.5
etl2012-09-02-26,67.5,-67.5,67.5,-67.5
etl2012-09-02-27,67.5,-67.5,67.5,-67.5
etl2012-09-02-28,67.5,-67.5,67.5,-67.5
