run_name,tilt_series_max_angle,tilt_series_min_angle,tilt_series_quality_score,tomo-align_software,tomo-fiducial_alignment_status,tomo-reconstruction_method,tomo-reconstruction_software,tomo-voxel_spacing,ts-pixel_spacing,ts-tilt_alignment_software,ts-tilt_range-max,ts-tilt_range-min,ts-tilt_series_quality
mst2010-09-17-2,61.0,-61.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24,9.62,RAPTOR,61.0,-61.0,4
mst2010-09-17-3,61.0,-61.0,1.0,,NON_FIDUCIAL,,,,9.62,,61.0,-61.0,1
mst2010-09-17-4,61.0,-61.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24,19.24,RAPTOR,61.0,-61.0,4
mst2010-09-17-5,61.0,-61.0,1.0,,NON_FIDUCIAL,,,,9.62,,61.0,-61.0,1
mst2010-09-17-6,61.0,-61.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24,19.24,RAPTOR,61.0,-61.0,4
mst2010-09-17-7,61.0,-61.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24,19.24,RAPTOR,61.0,-61.0,4
mst2010-09-17-8,61.0,-61.0,1.0,,NON_FIDUCIAL,,,,9.62,,61.0,-61.0,1
mst2010-09-17-9,61.0,-61.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24,9.62,RAPTOR,61.0,-61.0,4
mst2010-09-17-10,61.0,-61.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24,19.24,RAPTOR,61.0,-61.0,4
mst2010-09-17-11,61.0,-61.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24,19.24,RAPTOR,61.0,-61.0,4
mst2010-09-17-12,61.0,-61.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24,19.24,RAPTOR,61.0,-61.0,4
mst2010-09-17-13,61.0,-61.0,4.0,RAPTOR,FIDUCIAL,WBP,IMOD,19.24,19.24,RAPTOR,61.0,-61.0,4
