run_name,ts-tilt_range-max,ts-tilt_series_quality
dga2017-08-15-2,60.0,4
dga2017-08-15-3,60.0,4
dga2017-08-15-6,60.0,4
dga2017-08-15-7,60.0,4
dga2017-08-15-8,60.0,4
dga2017-08-15-9,60.0,4
dga2017-08-15-11,60.0,4
dga2017-08-15-12,60.0,4
dga2017-08-15-13,60.0,4
dga2017-08-15-14,60.0,4
dga2017-08-15-17,60.0,4
dga2017-08-15-20,60.0,4
dga2017-08-15-21,60.0,4
dga2017-08-15-25,60.0,4
dga2017-08-15-26,60.0,4
dga2017-08-15-27,60.0,4
dga2017-08-15-28,60.0,4
dga2017-08-15-29,60.0,4
dga2017-08-15-30,60.0,4
dga2017-08-15-31,60.0,4
dga2017-08-15-33,60.0,4
dga2017-08-15-34,60.0,4
dga2017-08-15-37,60.0,4
dga2017-08-15-39,60.0,4
dga2017-08-15-40,60.0,4
dga2017-08-15-41,60.0,4
dga2017-08-15-42,60.0,4
dga2017-08-15-43,60.0,4
dga2017-08-15-44,60.0,4
dga2017-08-15-45,60.0,4
dga2017-08-15-46,60.0,4
dga2017-08-15-47,60.0,4
dga2017-08-15-48,60.0,4
dga2017-08-15-49,60.0,4
dga2017-08-15-50,60.0,4
dga2017-08-15-51,60.0,4
dga2017-08-15-52,60.0,4
dga2017-08-15-53,60.0,4
dga2017-08-15-54,60.0,4
dga2017-08-15-55,60.0,4
dga2017-08-15-56,60.0,4
dga2017-08-15-57,60.0,4
dga2017-08-15-58,60.0,4
dga2017-08-15-59,60.0,4
dga2017-08-15-60,60.0,4
dga2017-08-15-62,60.0,4
dga2017-08-15-64,60.0,4
dga2017-08-15-66,60.0,4
dga2017-08-15-67,60.0,4
dga2017-08-15-72,60.0,4
dga2017-08-15-74,60.0,4
dga2017-08-15-75,60.0,4
dga2017-08-15-76,60.0,4
dga2017-08-15-77,60.0,4
dga2017-08-15-78,60.0,4
dga2017-08-15-79,60.0,4
dga2017-08-15-80,60.0,4
dga2017-08-15-81,60.0,4
dga2017-08-15-83,60.0,4
dga2017-08-15-84,60.0,4
dga2017-08-15-86,60.0,4
dga2017-08-15-87,60.0,4
dga2017-08-15-88,60.0,4
dga2017-08-15-89,60.0,4
dga2017-08-15-90,60.0,4
dga2017-08-15-91,60.0,4
dga2017-08-15-92,60.0,4
dga2017-08-15-93,60.0,4
dga2017-08-15-94,60.0,4
dga2017-08-15-95,60.0,4
dga2017-08-15-96,60.0,4
dga2017-08-15-97,60.0,4
dga2017-08-15-98,60.0,4
dga2017-08-15-99,60.0,4
dga2017-08-15-100,60.0,4
dga2017-08-15-101,60.0,4
dga2017-08-15-102,60.0,4
dga2017-08-15-103,60.0,4
dga2017-08-15-104,60.0,4
dga2017-08-15-105,60.0,4
dga2017-08-15-106,60.0,4
dga2017-08-15-108,60.0,4
dga2017-09-29-2,60.0,4
dga2017-09-29-3,60.0,4
dga2017-09-29-5,60.0,4
dga2017-09-29-6,60.0,4
dga2017-09-29-10,60.0,4
dga2017-09-30-11,60.0,4
dga2017-09-29-11,60.0,4
dga2017-09-30-12,60.0,4
dga2017-09-30-13,60.0,4
dga2017-09-29-14,60.0,4
dga2017-09-29-16,60.0,4
dga2017-09-30-17,60.0,4
dga2017-09-29-17,60.0,4
dga2017-09-29-19,60.0,4
dga2017-09-29-20,60.0,4
dga2017-09-30-21,60.0,4
dga2017-09-30-23,60.0,4
dga2017-09-29-22,60.0,4
dga2017-10-17-7,60.0,4
dga2017-10-17-8,60.0,4
dga2017-10-17-9,60.0,4
dga2017-10-17-10,60.0,4
dga2017-10-17-11,60.0,4
dga2017-10-17-13,60.0,4
dga2017-10-17-14,60.0,4
dga2017-10-17-15,60.0,4
dga2017-10-17-16,60.0,4
dga2017-10-17-17,60.0,4
dga2017-10-17-18,60.0,4
dga2017-10-17-19,60.0,4
dga2017-10-17-20,60.0,4
dga2017-10-17-21,60.0,4
dga2017-10-17-22,60.0,4
dga2017-10-17-25,60.0,4
dga2017-10-17-28,60.0,4
dga2017-10-17-29,60.0,4
dga2017-10-17-30,60.0,4
dga2017-10-17-31,60.0,4
dga2017-10-17-32,60.0,4
dga2017-10-17-34,60.0,4
dga2017-10-17-35,60.0,4
dga2017-10-17-36,60.0,4
dga2017-10-17-37,60.0,4
dga2017-10-17-38,60.0,4
