run_name,tomo-align_software,ts-data_acquisition_software,ts-tilt_alignment_software,ts-tilting_scheme
aba2015-07-28-3,Batchruntomo,UCSFTomo,Batchruntomo,starting tilt to max then min
aba2015-07-28-4,Batchruntomo,UCSFTomo,Batchruntomo,starting tilt to max then min
aba2015-07-28-10,Batchruntomo,UCSFTomo,Batchruntomo,starting tilt to max then min
aba2015-07-28-16,Batchruntomo,UCSFTomo,Batchruntomo,starting tilt to max then min
aba2015-07-28-22,Batchruntomo,UCSFTomo,Batchruntomo,starting tilt to max then min
aba2015-07-28-23,Batchruntomo,UCSFTomo,Batchruntomo,starting tilt to max then min
aba2015-07-28-27,Batchruntomo,UCSFTomo,Batchruntomo,starting tilt to max then min
aba2015-07-28-28,Batchruntomo,UCSFTomo,Batchruntomo,starting tilt to max then min
aba2015-07-28-29,Batchruntomo,UCSFTomo,Batchruntomo,starting tilt to max then min
aba2015-07-29-9,Batchruntomo,UCSFTomo,Batchruntomo,starting tilt to max then min
aba2015-07-29-11,Batchruntomo,UCSFTomo,Batchruntomo,starting tilt to max then min
aba2015-07-29-37,Batchruntomo,UCSFTomo,Batchruntomo,starting tilt to max then min
aba2015-07-28-5,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-6,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-7,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-8,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-9,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-11,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-12,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-13,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-14,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-15,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-17,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-18,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-19,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-20,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-21,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-24,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-25,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-26,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-30,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-28-31,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-7,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-10,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-12,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-13,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-14,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-15,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-17,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-19,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-21,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-34,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-38,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-40,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-41,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-42,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-43,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-44,RAPTOR,UCSFTomo,RAPTOR,starting tilt to max then min
aba2015-07-29-16,RAPTOR,Undefined,RAPTOR,min to max tilt
