run_name,ts_quality_score
ay08102021_grid_1_atc_lamella1_pos10,5
ay08102021_grid_1_atc_lamella1_pos11,5
ay08102021_grid_1_atc_lamella1_pos12,5
ay08102021_grid_1_atc_lamella1_pos13,5
ay08102021_grid_1_atc_lamella1_pos14,5
ay08102021_grid_1_atc_lamella1_pos15,5
ay08102021_grid_1_atc_lamella1_pos7,5
ay08102021_grid_1_atc_lamella1_pos8,5
ay08102021_grid_1_atc_lamella1_pos9,5
ay08102021_grid_2_lamella2_pos5,5
ay08102021_grid_2_lamella2_pos6,5
ay08102021_grid_2_lamella2_pos7,5
ay08102021_grid_2_lamella2_pos8,5
ay08102021_grid_2_lamella2_pos9,5
ay08102021_grid_2_lamella3_pos1,5
ay08102021_grid_2_lamella3_pos2,5
ay08102021_grid_2_lamella3_pos3,5
ay08102021_grid_2_lamella3_pos4,5
ay08102021_grid_2_lamella5_pos10,5
ay08102021_grid_2_lamella5_pos11,5
ay08102021_grid_2_lamella5_pos12,5
ay08102021_grid_2_lamella6_pos13,5
ay08102021_grid_2_lamella6_pos14,5
ay08102021_grid_2_lamella6_pos15,5
ay08102021_grid_3_lamella1_pos1,5
ay08102021_grid_3_lamella1_pos2,5
ay08102021_grid_3_lamella1_pos3,5
ay08102021_grid_3_lamella1_pos4,5
ay08102021_grid_3_lamella1_pos5,5
ay08102021_grid_3_lamella2_pos10,5
ay08102021_grid_3_lamella2_pos6,5
ay08102021_grid_3_lamella2_pos7,5
ay08102021_grid_3_lamella2_pos8,5
ay08102021_grid_3_lamella2_pos9,5
ay08102021_grid_3_lamella3_pos11,5
ay08102021_grid_3_lamella3_pos12,1
ay08102021_grid_3_lamella3_pos13,5
ay08102021_grid_3_lamella3_pos14,5
ay08102021_grid_3_lamella3_pos15,5
ay08102021_grid_3_lamella3_pos16,5
ay08102021_grid_3_lamella3_pos17,5
ay08102021_grid_3_lamella3_pos18,5
ay08102021_grid_3_lamella3_pos19,5
ay08102021_grid_3_lamella3_pos20,5
ay08102021_grid_3_lamella3_pos21,5
ay08102021_grid_3_lamella4_pos27,5
ay08102021_grid_3_lamella4_pos28,5
ay08102021_grid_3_lamella4_pos29,5
ay08102021_grid_3_lamella4_pos30,5
ay08102021_grid_3_lamella4_pos31,5
ay08102021_grid_3_lamella4_pos32,5
ay08102021_grid_3_lamella4_pos33,5
ay08102021_grid_3_lamella4_pos34,5
ay08102021_grid_3_lamella4_pos35,5
ay08102021_grid_3_lamella4_pos36,5
ay08102021_grid_3_lamella4_pos37,5
ay08102021_grid_3_lamella4_pos38,5
ay08102021_grid_3_lamella5_pos39,5
ay08102021_grid_3_lamella5_pos40,5
ay08102021_grid_3_lamella5_pos41,5
ay08102021_grid_3_lamella5_pos42,5
ay08102021_grid_3_lamella5_pos43,5
ay08102021_grid_3_lamella5_pos44,5
ay08102021_grid_3_lamella5_pos45,5
ay08102021_grid_3_lamella5_pos46,5
ay08102021_grid_na_lamella1_pos1,5
ay08102021_grid_na_lamella2_pos1,5
ay08102021_grid_na_lamella2_pos2,5
ay08102021_grid_na_lamella2_pos3,5
ay08102021_grid_na_lamella2_pos5,5
ay08102021_grid_na_lamella2_pos6,5
ay08102021_grid_na_lamella2_pos8,5
ay18112021_grid2_lamella1_position1,5
ay18112021_grid2_lamella1_position2,1
ay18112021_grid2_lamella1_position3,5
ay18112021_grid2_lamella1_position4,5
ay18112021_grid2_lamella3_position5,5
ay18112021_grid2_lamella3_position6,5
ay18112021_grid2_lamella3_position7,5
ay18112021_grid2_lamella4_position10,5
ay18112021_grid2_lamella4_position11,1
ay18112021_grid2_lamella4_position12,5
ay18112021_grid2_lamella4_position13,1
ay18112021_grid2_lamella4_position8,5
ay18112021_grid2_lamella4_position9,5
ay18112021_grid2_lamella5_position14,5
ay18112021_grid2_lamella5_position15,5
ay18112021_grid2_lamella5_position16,1
ay18112021_grid2_lamella5_position17,5
ay18112021_grid2_lamella5_position18,5
ay18112021_grid2_lamella5_position19,5
ay18112021_grid2_lamella5_position20,5
ay18112021_grid2_lamella5_position21,5
ay18112021_grid2_lamella6_position22,5
ay18112021_grid2_lamella6_position24,5
ay18112021_gridX_lamella1_pos1,5
ay18112021_gridX_lamella1_pos2,5
ay18112021_gridX_lamella1_pos3,5
ay18112021_gridX_lamella1_pos4,5
ay18112021_gridX_lamella1_pos5,1
ay18112021_gridX_lamella1_pos6,5
ay18112021_gridX_lamella1_pos7,5
ay18112021_gridX_lamella1_pos8,5
ay18112021_gridX_lamella1_pos9,5
ay18112021_gridX_lamella2_pos1,5
ay18112021_gridX_lamella2_pos10,5
ay18112021_gridX_lamella2_pos2,5
ay18112021_gridX_lamella2_pos3,5
ay18112021_gridX_lamella2_pos4,5
ay18112021_gridX_lamella2_pos5,5
ay18112021_gridX_lamella2_pos6,5
ay18112021_gridX_lamella2_pos8,5
ay18112021_gridX_lamella2_pos9,5
ay18112021_gridX_lamella3_pos1,5
ay18112021_gridX_lamella3_pos2,5
ay18112021_gridX_lamella3_pos3,5
ay18112021_gridX_lamella3_pos4,5
ay18112021_gridX_lamella3_pos5,5
ay18112021_gridX_lamella4_pos1,5
ay18112021_gridX_lamella4_pos2,5
ay18112021_gridX_lamella4_pos4,5
ay18112021_gridX_lamella4_pos5,5
ay18112021_gridX_lamella4_pos6,5
ay18112021_gridX_lamella4_pos7,5
ay18112021_gridX_lamella4_pos8,5
ay18112021_gridX_lamella4_pos9,5
ay18112021_gridX_lamella5_pos1,5
ay18112021_gridX_lamella6_pos1,5
ay18112021_gridX_lamella6_pos10,5
ay18112021_gridX_lamella6_pos11,5
ay18112021_gridX_lamella6_pos12,5
ay18112021_gridX_lamella6_pos13,5
ay18112021_gridX_lamella6_pos2,5
ay18112021_gridX_lamella6_pos3,5
ay18112021_gridX_lamella6_pos4,5
ay18112021_gridX_lamella6_pos5,5
ay18112021_gridX_lamella6_pos6,5
ay18112021_gridX_lamella6_pos7,5
ay18112021_gridX_lamella6_pos8,5
ay18112021_gridX_lamella6_pos9,5
ay18112021_gridX_lamella8_pos10,5
ay18112021_gridX_lamella8_pos11,5
ay18112021_gridX_lamella8_pos12,5
ay18112021_gridX_lamella8_pos13,5
ay18112021_gridX_lamella8_pos14,5
ay18112021_gridX_lamella8_pos16,5
ay18112021_gridX_lamella8_pos17,5
ay18112021_gridX_lamella8_pos18,5
ay18112021_gridX_lamella8_pos19,5
ay18112021_gridX_lamella8_pos20,5
ay18112021_gridX_lamella8_pos21,5
ay18112021_gridX_lamella8_pos22,5
ay18112021_gridX_lamella8_pos3,5
ay18112021_gridX_lamella8_pos5,5
ay18112021_gridX_lamella8_pos6,1
ay18112021_gridX_lamella8_pos7,5
ay18112021_gridX_lamella8_pos8,5
ay18112021_gridX_lamella8_pos9,5
ay18112021_gridX_lamella9_pos23,5
ay18112021_gridX_lamella9_pos24,5
ay18112021_gridX_lamella9_pos4,5
ay18112021_gridX_lamella9_pos5,5
ay18112021_gridX_lamella9_pos6,5
ay18112021_gridX_lamella9_pos7,5
ay19102021_grid_2_atc_lamella1_position2,5
ay19102021_grid_2_atc_lamella1_position3,5
ay19102021_grid_2_atc_lamella1_position4,1
ay19102021_grid_2_atc_lamella1_position5,1
ay19102021_grid_2_atc_lamella1_position6,1
ay19102021_grid_2_atc_lamella2_position1,5
ay19102021_grid_2_atc_lamella2_position4,5
ay19102021_grid_2_atc_lamella2_position5,5
ay19102021_grid_2_atc_lamella3_position1,5
ay19102021_grid_2_atc_lamella3_position2,5
ay19102021_grid_2_atc_lamella4_position3,5
ay19102021_grid_2_atc_lamella4_position4,5
ay19102021_grid_2_atc_lamella4_position5,5
ay19102021_grid_3_atc_lamella1_position1,5
ay19102021_grid_3_atc_lamella1_position2,5
ay19102021_grid_3_atc_lamella1_position3,5
ay19102021_grid_3_atc_lamella2_position4,5
ay19102021_grid_3_atc_lamella3_position5,5
ay19102021_grid_3_atc_lamella3_position6,5
ay19102021_grid_3_atc_lamella4_position7,5
ay19102021_grid_3_atc_lamella4_position8,5
ay19102021_grid_4_atc_lamella3_position1,5
ay19102021_grid_4_atc_lamella3_position2,5
ay22112021_grid3_lamella1_pos1,5
ay22112021_grid3_lamella1_pos2,5
ay22112021_grid3_lamella1_pos3,5
ay22112021_grid3_lamella1_pos4,5
ay22112021_grid3_lamella1_pos5,5
ay22112021_grid3_lamella2_pos10,5
ay22112021_grid3_lamella2_pos11,5
ay22112021_grid3_lamella2_pos12,5
ay22112021_grid3_lamella2_pos13,5
ay22112021_grid3_lamella2_pos14,5
ay22112021_grid3_lamella2_pos15,5
ay22112021_grid3_lamella2_pos16,5
ay22112021_grid3_lamella2_pos17,5
ay22112021_grid3_lamella2_pos18,5
ay22112021_grid3_lamella2_pos19,5
ay22112021_grid3_lamella2_pos20,5
ay22112021_grid3_lamella2_pos21,5
ay22112021_grid3_lamella2_pos22,5
ay22112021_grid3_lamella2_pos23,5
ay22112021_grid3_lamella2_pos24,5
ay22112021_grid3_lamella2_pos25,5
ay22112021_grid3_lamella2_pos26,5
ay22112021_grid3_lamella2_pos27,5
ay22112021_grid3_lamella2_pos28,5
ay22112021_grid3_lamella2_pos29,5
ay22112021_grid3_lamella2_pos30,5
ay22112021_grid3_lamella2_pos31,5
ay22112021_grid3_lamella2_pos32,5
ay22112021_grid3_lamella2_pos33,5
ay22112021_grid3_lamella2_pos34,5
ay22112021_grid3_lamella2_pos35,5
ay22112021_grid3_lamella2_pos36,5
ay22112021_grid3_lamella2_pos37,5
ay22112021_grid3_lamella2_pos38,5
ay22112021_grid3_lamella2_pos39,5
ay22112021_grid3_lamella2_pos40,5
ay22112021_grid3_lamella2_pos41,5
ay22112021_grid3_lamella2_pos42,5
ay22112021_grid3_lamella2_pos43,5
ay22112021_grid3_lamella2_pos44,5
ay22112021_grid3_lamella2_pos45,5
ay22112021_grid3_lamella2_pos46,5
ay22112021_grid3_lamella2_pos47,5
